War Machine v0 Backtest — 60 gün
Tarih: 2026-04-08 19:22
Coinler: BTCUSDT, ETHUSDT, BNBUSDT, SOLUSDT, XRPUSDT, ADAUSDT, AVAXUSDT, DOGEUSDT, LTCUSDT, DOTUSDT

Trades: 198
Win Rate: 37.9%
PnL: $-480.42
Profit Factor: 0.73

Trade Detayları:
----------------------------------------------------------------------------------------------------
03/01 20:00 | SOLUSDT      | $   83.6000 → $   83.8900 | PnL=$   +1.47 | TIME-EXIT    | 3c
03/01 20:00 | AVAXUSDT     | $    9.0400 → $    8.9800 | PnL=$   -8.64 | TIME-EXIT    | 3c
03/02 08:00 | BTCUSDT      | $66359.6800 → $69334.1643 | PnL=$  +42.82 | TAKE-PROFIT  | 1c
03/02 12:00 | AVAXUSDT     | $    9.3000 → $    9.1600 | PnL=$  -17.05 | TIME-EXIT    | 3c
03/02 12:00 | DOTUSDT      | $    1.5730 → $    1.5089 | PnL=$  -42.73 | STOP-LOSS    | 2c
03/02 16:00 | XRPUSDT      | $    1.4007 → $    1.3640 | PnL=$  -28.20 | TIME-EXIT    | 3c
03/02 16:00 | LTCUSDT      | $   54.8800 → $   54.1000 | PnL=$  -16.21 | TIME-EXIT    | 3c
03/03 00:00 | BNBUSDT      | $  635.6300 → $  623.0736 | PnL=$  -21.75 | STOP-LOSS    | 2c
03/03 08:00 | BTCUSDT      | $67026.6100 → $68338.0000 | PnL=$  +17.57 | TIME-EXIT    | 3c
03/03 08:00 | ETHUSDT      | $ 1961.2800 → $ 1982.8000 | PnL=$   +8.97 | TIME-EXIT    | 3c
03/03 12:00 | SOLUSDT      | $   85.0400 → $   85.7700 | PnL=$   +6.58 | TIME-EXIT    | 3c
03/03 16:00 | AVAXUSDT     | $    9.1800 → $    9.1800 | PnL=$   -2.00 | TIME-EXIT    | 3c
03/03 16:00 | LTCUSDT      | $   54.6900 → $   55.2900 | PnL=$   +8.97 | TIME-EXIT    | 3c
03/04 04:00 | BTCUSDT      | $69493.1300 → $72719.6371 | PnL=$  +44.43 | TAKE-PROFIT  | 2c
03/04 08:00 | ETHUSDT      | $ 2054.9700 → $ 2177.3157 | PnL=$  +57.54 | TAKE-PROFIT  | 2c
03/04 08:00 | BNBUSDT      | $  650.5100 → $  657.9900 | PnL=$   +9.50 | TIME-EXIT    | 3c
03/04 08:00 | SOLUSDT      | $   89.7600 → $   90.8500 | PnL=$  +10.14 | TIME-EXIT    | 3c
03/04 08:00 | XRPUSDT      | $    1.3990 → $    1.4676 | PnL=$  +47.01 | TAKE-PROFIT  | 2c
03/04 08:00 | AVAXUSDT     | $    9.3000 → $    9.7686 | PnL=$  +48.38 | TAKE-PROFIT  | 2c
03/04 08:00 | LTCUSDT      | $   55.7800 → $   56.7700 | PnL=$  +15.75 | TIME-EXIT    | 3c
03/04 12:00 | DOTUSDT      | $    1.5560 → $    1.5290 | PnL=$  -19.35 | TIME-EXIT    | 3c
03/04 20:00 | AVAXUSDT     | $    9.5000 → $    9.4600 | PnL=$   -6.21 | TIME-EXIT    | 3c
03/05 08:00 | LTCUSDT      | $   56.0200 → $   55.4600 | PnL=$  -12.00 | TIME-EXIT    | 3c
03/05 12:00 | ETHUSDT      | $ 2086.9600 → $ 2083.8000 | PnL=$   -3.51 | TIME-EXIT    | 3c
03/05 12:00 | BNBUSDT      | $  652.9400 → $  649.7000 | PnL=$   -6.96 | TIME-EXIT    | 3c
03/05 12:00 | SOLUSDT      | $   89.6200 → $   88.4100 | PnL=$  -15.50 | TIME-EXIT    | 3c
03/05 12:00 | XRPUSDT      | $    1.4167 → $    1.4055 | PnL=$   -9.91 | TIME-EXIT    | 3c
03/05 12:00 | DOGEUSDT     | $    0.0943 → $    0.0939 | PnL=$   -5.82 | TIME-EXIT    | 3c
03/06 12:00 | BTCUSDT      | $68504.7100 → $68095.5000 | PnL=$   -7.97 | TIME-EXIT    | 3c
03/06 12:00 | ETHUSDT      | $ 1978.0100 → $ 1980.2100 | PnL=$   -0.89 | TIME-EXIT    | 3c
03/06 12:00 | BNBUSDT      | $  628.0200 → $  627.1300 | PnL=$   -3.42 | TIME-EXIT    | 3c
03/06 12:00 | AVAXUSDT     | $    8.9800 → $    9.0300 | PnL=$   +3.57 | TIME-EXIT    | 3c
03/09 16:00 | ETHUSDT      | $ 2033.9100 → $ 1993.2821 | PnL=$  -21.98 | STOP-LOSS    | 1c
03/09 16:00 | AVAXUSDT     | $    9.3900 → $    9.4100 | PnL=$   +0.13 | TIME-EXIT    | 3c
03/09 20:00 | BNBUSDT      | $  634.6400 → $  645.5400 | PnL=$  +15.18 | TIME-EXIT    | 3c
03/09 20:00 | DOTUSDT      | $    1.4940 → $    1.5180 | PnL=$  +14.06 | TIME-EXIT    | 3c
03/10 00:00 | BTCUSDT      | $69429.8500 → $71346.1600 | PnL=$  +25.60 | TIME-EXIT    | 3c
03/10 00:00 | ETHUSDT      | $ 2026.8000 → $ 2079.3500 | PnL=$  +23.93 | TIME-EXIT    | 3c
03/10 04:00 | SOLUSDT      | $   86.7000 → $   86.0200 | PnL=$   -9.84 | TIME-EXIT    | 3c
03/10 04:00 | XRPUSDT      | $    1.3875 → $    1.4346 | PnL=$  +31.94 | TAKE-PROFIT  | 2c
03/10 08:00 | ADAUSDT      | $    0.2642 → $    0.2621 | PnL=$   -9.95 | TIME-EXIT    | 3c
03/10 08:00 | DOGEUSDT     | $    0.0945 → $    0.0987 | PnL=$  +42.69 | TAKE-PROFIT  | 1c
03/10 12:00 | BNBUSDT      | $  649.2300 → $  639.3236 | PnL=$  -17.26 | STOP-LOSS    | 3c
03/10 12:00 | LTCUSDT      | $   54.7700 → $   53.7257 | PnL=$  -21.07 | STOP-LOSS    | 1c
03/10 12:00 | DOTUSDT      | $    1.5300 → $    1.4916 | PnL=$  -27.07 | STOP-LOSS    | 1c
03/10 16:00 | BTCUSDT      | $70043.6300 → $69648.2900 | PnL=$   -7.64 | TIME-EXIT    | 3c
03/10 16:00 | ETHUSDT      | $ 2037.0200 → $ 2012.5400 | PnL=$  -14.02 | TIME-EXIT    | 3c
03/10 16:00 | XRPUSDT      | $    1.3849 → $    1.3784 | PnL=$   -6.69 | TIME-EXIT    | 3c
03/10 16:00 | AVAXUSDT     | $    9.6000 → $    9.5100 | PnL=$  -11.37 | TIME-EXIT    | 3c
03/11 08:00 | BNBUSDT      | $  638.2000 → $  651.4600 | PnL=$  +18.78 | TIME-EXIT    | 3c
03/11 12:00 | BTCUSDT      | $70227.9100 → $69446.6100 | PnL=$  -13.13 | TIME-EXIT    | 3c
03/11 12:00 | ETHUSDT      | $ 2049.7300 → $ 2023.3800 | PnL=$  -14.86 | TIME-EXIT    | 3c
03/11 12:00 | SOLUSDT      | $   85.4000 → $   85.0100 | PnL=$   -6.57 | TIME-EXIT    | 3c
03/11 12:00 | XRPUSDT      | $    1.3824 → $    1.3738 | PnL=$   -8.22 | TIME-EXIT    | 3c
03/11 12:00 | ADAUSDT      | $    0.2625 → $    0.2590 | PnL=$  -15.33 | TIME-EXIT    | 3c
03/11 12:00 | AVAXUSDT     | $    9.6000 → $    9.4900 | PnL=$  -13.46 | TIME-EXIT    | 3c
03/11 12:00 | DOGEUSDT     | $    0.0924 → $    0.0922 | PnL=$   -4.27 | TIME-EXIT    | 3c
03/11 12:00 | LTCUSDT      | $   54.5600 → $   54.1400 | PnL=$   -9.70 | TIME-EXIT    | 3c
03/11 12:00 | DOTUSDT      | $    1.5190 → $    1.4980 | PnL=$  -15.82 | TIME-EXIT    | 3c
03/12 12:00 | BTCUSDT      | $70334.8800 → $71405.7500 | PnL=$  +13.23 | TIME-EXIT    | 3c
